peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
8922004404.697515,2043,224762624063.41434,2052.0,50_percent_of_peak
9450331435.59655,2052,255997292434.2817,2062.0,50_percent_of_peak
11081554679.18471,2053,321928139138.1934,2064.0,50_percent_of_peak
10979500681.306313,2060,340446634277.00903,2071.0,50_percent_of_peak
13735139037.371216,2050,352700756390.35693,2059.0,50_percent_of_peak
12772618701.441742,2063,407086378265.77795,2075.0,50_percent_of_peak
15879967626.25881,2058,536704169451.91296,2071.0,50_percent_of_peak
13101584975.939617,2060,418175943534.2622,2073.0,50_percent_of_peak
42138212450.49123,2086,1621365685410.5176,,50_percent_of_peak
18658110386.26132,2066,663703348811.6879,2079.0,50_percent_of_peak
13863367072.9801,2056,431146999830.7364,2068.0,50_percent_of_peak
8339576048.526519,2058,260118024130.2211,2070.0,50_percent_of_peak
12489526585.02695,2059,372598000450.8772,2071.0,50_percent_of_peak
26577933956.64137,2064,1086257606292.9691,2081.0,50_percent_of_peak
21807134089.01992,2058,748992968320.675,2072.0,50_percent_of_peak
42544967021.59647,2083,1736782992107.8481,,50_percent_of_peak
27502559681.8594,2072,1114434478405.5574,2086.0,50_percent_of_peak
18145628027.220196,2061,635608709910.4667,2074.0,50_percent_of_peak
23248780833.56012,2056,670073136049.1448,2067.0,50_percent_of_peak
25546637679.132977,2051,768210413858.2505,2064.0,50_percent_of_peak
9170677514.340197,2054,276661985631.11804,2065.0,50_percent_of_peak
20768588417.119396,2075,886881949722.9543,2092.0,50_percent_of_peak
51336341324.14643,2080,2056811112374.6528,,50_percent_of_peak
8691134014.656895,2054,258408171923.9619,2066.0,50_percent_of_peak
10586725632.111403,2053,310409850829.11334,2065.0,50_percent_of_peak
15224875902.536673,2058,487496743150.8188,2070.0,50_percent_of_peak
21804029047.781353,2061,758784789213.435,2074.0,50_percent_of_peak
27146875613.34984,2074,1153678669167.053,2089.0,50_percent_of_peak
20520254792.970173,2062,715116044614.6754,2075.0,50_percent_of_peak
12781150687.724167,2062,411259238821.45825,2075.0,50_percent_of_peak
21318443669.174973,2050,572411524806.7662,2062.0,50_percent_of_peak
8079573763.934725,2048,187703864080.74744,2059.0,50_percent_of_peak
40378561528.446045,2076,1687148606508.5378,2092.0,50_percent_of_peak
13329412917.862448,2066,490058107685.91974,2080.0,50_percent_of_peak
20114945411.390587,2061,707469699759.0974,2074.0,50_percent_of_peak
16314588380.714237,2067,648626192656.2087,2083.0,50_percent_of_peak
28078771752.779552,2060,994996350807.1896,2074.0,50_percent_of_peak
8131017116.4866295,2051,241467197652.38834,2064.0,50_percent_of_peak
35986123671.8834,2067,1349511295062.3826,2080.0,50_percent_of_peak
32701626766.85638,2069,1180979024119.6602,2082.0,50_percent_of_peak
11438486632.37375,2054,355028117357.3431,2068.0,50_percent_of_peak
13325124562.59242,2058,402847715162.75183,2070.0,50_percent_of_peak
9118080381.105812,2054,244225047180.7743,2065.0,50_percent_of_peak
20353703951.94254,2077,857169093290.1882,,50_percent_of_peak
26956228222.215164,2073,1067232447660.3801,2087.0,50_percent_of_peak
17110182631.554707,2053,458228159453.38,2064.0,50_percent_of_peak
17960117093.002346,2063,627070538008.3254,2077.0,50_percent_of_peak
34088142048.36373,2081,1439051375511.8494,,50_percent_of_peak
14392234516.403128,2053,437865993532.4323,2066.0,50_percent_of_peak
13377657053.797674,2058,400634597614.40137,2069.0,50_percent_of_peak
38484485814.9926,2083,1591314428503.0803,,50_percent_of_peak
40670375106.74782,2082,1669754756757.606,,50_percent_of_peak
27391776005.364452,2074,1208701035778.295,2090.0,50_percent_of_peak
10206769849.147894,2044,217619458446.81116,2053.0,50_percent_of_peak
12096060590.438856,2054,381955555194.49207,2067.0,50_percent_of_peak
41857412783.59677,2080,1717897883830.3115,,50_percent_of_peak
14957763554.626242,2066,586153448527.6229,2081.0,50_percent_of_peak
6438317333.279021,2049,183743000603.19827,2062.0,50_percent_of_peak
20944770717.246456,2063,723420779652.3986,2076.0,50_percent_of_peak
16274318112.055683,2046,387987467663.812,2056.0,50_percent_of_peak
15676245292.628983,2054,482855648416.8172,2067.0,50_percent_of_peak
20308316491.768024,2078,850489796790.797,,50_percent_of_peak
13318130228.524727,2073,535213980342.0206,2088.0,50_percent_of_peak
11415445201.611176,2059,381255113416.25433,2072.0,50_percent_of_peak
33491803940.399303,2081,1322188278521.608,,50_percent_of_peak
5248062865.260911,2048,120408279290.84819,2057.0,50_percent_of_peak
11804429299.75948,2049,293794916453.2394,2060.0,50_percent_of_peak
28329964176.83301,2081,1177334546900.6533,,50_percent_of_peak
