peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
2064390626.1155243,2086,93629474576.8333,,50_percent_of_peak
1382494367.6343992,2087,63422712041.00801,,50_percent_of_peak
1769875311.5715234,2038,75025212842.53656,2087.0,50_percent_of_peak
2235481339.870315,2083,100016009608.54521,,50_percent_of_peak
1459482504.0854185,2037,69467898234.25294,,50_percent_of_peak
2113422955.7923465,2082,97286482696.06578,,50_percent_of_peak
1254765877.9274502,2038,66419325663.91628,,50_percent_of_peak
1783483214.8325255,2037,83892445916.56578,,50_percent_of_peak
1535478682.2271385,2036,80300285525.4459,,50_percent_of_peak
1270269554.7981234,2082,67238751956.73416,,50_percent_of_peak
1344726568.1144197,2081,62584963172.48169,,50_percent_of_peak
1400242086.343373,2078,69434506084.57452,,50_percent_of_peak
2459787936.8737273,2083,118789275030.29454,,50_percent_of_peak
1603489449.7182908,2086,74770563950.31575,,50_percent_of_peak
1799065746.0369146,2080,87036246946.04716,,50_percent_of_peak
1626017502.6631114,2085,76175969229.46277,,50_percent_of_peak
1097898178.0206807,2080,56362673317.77602,,50_percent_of_peak
2084299966.4825552,2036,82375990181.37509,2048.0,50_percent_of_peak
2706945150.1475883,2083,119360301826.49086,,50_percent_of_peak
2324788326.3122,2082,116012381283.58449,,50_percent_of_peak
1581435709.5837524,2082,78316272241.34659,,50_percent_of_peak
1329600003.796774,2085,64410569122.01248,,50_percent_of_peak
1878434198.7360115,2038,89179943949.09192,2092.0,50_percent_of_peak
1882516868.8297293,2040,90622578769.75778,,50_percent_of_peak
1330171630.740779,2080,69915257282.65892,,50_percent_of_peak
1797428993.921206,2082,93034235553.31937,,50_percent_of_peak
1160097144.8543634,2083,54524028862.71226,,50_percent_of_peak
1366405351.8546205,2080,67879167291.6606,,50_percent_of_peak
1383301475.8696735,2084,69118708885.44438,,50_percent_of_peak
1340430395.8758245,2078,69143876506.36127,,50_percent_of_peak
2339473783.0256515,2086,102339177420.40047,,50_percent_of_peak
2006122612.8552244,2082,99806927193.12813,,50_percent_of_peak
1268144629.6942608,2036,64010680453.63923,,50_percent_of_peak
2032356294.9219773,2036,104397473131.62677,,50_percent_of_peak
1574200105.4126258,2038,75972796974.29411,,50_percent_of_peak
1618806302.215858,2037,81106463156.4336,,50_percent_of_peak
2014891002.2437952,2084,95778069190.86844,,50_percent_of_peak
1238732584.711126,2078,65730562235.49971,,50_percent_of_peak
2021288275.7146416,2085,98183252413.58826,,50_percent_of_peak
1405456186.3445528,2080,75134891359.08585,,50_percent_of_peak
1937614441.685428,2037,99176801710.62003,,50_percent_of_peak
2304225566.486636,2084,106721794827.73674,,50_percent_of_peak
1060795171.0067108,2036,38595296578.727104,2079.0,50_percent_of_peak
1098873950.661006,2038,54980118783.59434,,50_percent_of_peak
2385195136.156092,2081,108975116180.44792,,50_percent_of_peak
1444026204.7098827,2074,75959376304.63649,2089.0,50_percent_of_peak
2512594984.2637043,2038,123633608058.24036,,50_percent_of_peak
1141685475.4276206,2075,58181688617.20449,2091.0,50_percent_of_peak
1813329036.5894542,2081,90400881195.63791,,50_percent_of_peak
1313867990.3246021,2083,62861898566.24062,,50_percent_of_peak
1081821012.6796887,2038,49340632948.77915,,50_percent_of_peak
1657841142.4156606,2082,82770928775.19014,,50_percent_of_peak
1798307413.4008908,2086,80973173893.96402,,50_percent_of_peak
1977714011.8958921,2085,93326572950.80489,,50_percent_of_peak
1690556596.4373965,2086,78761871009.52428,,50_percent_of_peak
1572334510.571719,2036,76730896205.99202,,50_percent_of_peak
1776564434.2718246,2037,77952628920.20215,,50_percent_of_peak
2243452325.6598997,2083,108976816986.93927,,50_percent_of_peak
1767319035.6723158,2084,91656104423.02806,,50_percent_of_peak
1203282897.8844557,2079,62075844472.50386,,50_percent_of_peak
1031819095.6053593,2084,51901765704.49912,,50_percent_of_peak
1338256241.9179916,2084,64408984778.57267,,50_percent_of_peak
1686474220.4379003,2084,87251727151.31047,,50_percent_of_peak
1403012317.131595,2035,72379837060.83112,,50_percent_of_peak
1216151277.0435562,2038,63575312928.43482,2090.0,50_percent_of_peak
2165168833.038961,2083,106040045932.00781,,50_percent_of_peak
978537175.193319,2077,49334832323.14407,,50_percent_of_peak
1776569867.2163916,2083,88203700630.95175,,50_percent_of_peak
1319607943.2547235,2081,63230436956.68784,,50_percent_of_peak
2096699246.2684555,2081,100511697197.02953,,50_percent_of_peak
1704463266.852467,2037,79813189877.6238,,50_percent_of_peak
1809765144.3680248,2087,82404591891.02534,,50_percent_of_peak
1527762297.98869,2037,70768731550.85089,,50_percent_of_peak
1499993058.609106,2077,77354635371.92268,,50_percent_of_peak
1498932829.4160352,2037,78961384117.09778,,50_percent_of_peak
1357214924.781913,2036,66916811028.74633,,50_percent_of_peak
1318979276.481431,2036,62068756319.90975,,50_percent_of_peak
2141779381.4834538,2076,108932049930.2898,2092.0,50_percent_of_peak
1930727822.272529,2038,93688835118.52774,,50_percent_of_peak
2171326460.6077647,2086,95182225688.36943,,50_percent_of_peak
1169881545.0725415,2074,60463601283.8979,2088.0,50_percent_of_peak
1324763575.8647578,2078,69789771702.52023,,50_percent_of_peak
2638026761.7734194,2036,130425305717.89462,,50_percent_of_peak
1610894220.7026014,2081,77708089511.85939,,50_percent_of_peak
2650519401.252508,2080,125209521129.04619,,50_percent_of_peak
1333149752.8691785,2037,69753215003.08052,,50_percent_of_peak
1542956281.5149806,2037,82778512512.78358,,50_percent_of_peak
1154338532.7544572,2084,54541664527.81972,,50_percent_of_peak
1841127862.5958354,2082,94166041056.564,,50_percent_of_peak
1898199299.9624472,2081,93883555348.85837,,50_percent_of_peak
1414029585.2097728,2077,67856102024.20558,,50_percent_of_peak
2004778019.4813488,2037,104072696878.75446,2090.0,50_percent_of_peak
1519271113.1780605,2082,72588459702.87778,,50_percent_of_peak
1870748834.1865022,2082,94652812967.74838,,50_percent_of_peak
1619551571.872295,2037,61864419031.87337,2053.0,50_percent_of_peak
1886133601.4010491,2082,98607731717.31172,,50_percent_of_peak
2475677730.501517,2082,123985659892.08025,,50_percent_of_peak
1212183267.7621598,2037,60666705096.32553,,50_percent_of_peak
