run_id,scenario_id,F27,F29,F30,F31
0,oh-status-quo,2.9302743610659796,0.7917698370347996,3.9738974867085295,0.0022093363462972688
1,oh-status-quo,3.0999926283355714,1.0671233677660772,2.0533829718120318,0.004662426307545772
2,oh-status-quo,3.327157739029259,1.1228068672900973,3.567664685052224,0.004672596455335854
3,oh-status-quo,2.191123343275279,1.1013118742534451,1.757420452813645,0.0010253555779726575
4,oh-status-quo,3.30518485137406,0.97755913101365,1.6253939838150904,0.001292645343913767
5,oh-status-quo,3.9098836119992795,0.8250533757401632,2.768490313761506,0.003066031201199365
6,oh-status-quo,2.5683073534443697,0.9850791211410481,3.244194881607367,0.0011517976968283999
7,oh-status-quo,2.963396143346139,0.9613552508843876,2.2840281024355993,0.004266678715252134
8,oh-status-quo,3.4579594537721103,1.0139221445510231,2.3757699676781385,0.00038060885694418613
9,oh-status-quo,2.9898740629693323,1.1239004409925675,1.9656822578848545,-0.0007444529876460249
10,oh-status-quo,3.418993566532601,1.2205648202677222,2.966500986146297,0.007777907440386827
11,oh-status-quo,2.9087224796078264,1.2143955199002514,4.5060794814936145,0.0008389480945761561
12,oh-status-quo,2.890359320768516,1.0804265654999787,4.501154585472351,-6.547602570717182e-05
13,oh-status-quo,2.444285657616198,0.7788501101783795,3.4610072173224364,0.004474989777609466
14,oh-status-quo,3.2268426963868535,0.782374473140422,2.288469654021142,0.0008125598681785036
15,oh-status-quo,2.768065563099543,0.9932615432963653,2.760553324745537,-0.0010118029873145162
16,oh-status-quo,3.952645272917438,0.878341498650368,2.7279244030208902,-0.001081687073246592
17,oh-status-quo,2.410071709113296,0.7539203713339071,3.7131050691894725,0.0018710310006051388
18,oh-status-quo,2.7363721513903903,0.7830288550303275,1.9523200187575593,0.001496601202841341
19,oh-status-quo,2.8958432431022803,1.023335995496741,1.326181142381145,0.001282348056413584
20,oh-status-quo,2.0034046958611524,0.9740427833254064,3.8026725670875834,0.002821566225425339
21,oh-status-quo,4.012069982041568,1.232806458611288,1.5618321439139036,0.002409751176672956
22,oh-status-quo,2.001615277422671,1.2418773260747953,2.0509643390015997,0.0013684877090337068
23,oh-status-quo,3.632140663954938,1.1074300982378278,4.266761206422299,-0.00238204891575875
24,oh-status-quo,2.712771584393213,1.013367737305702,2.290129275688626,0.0010796659654961818
25,oh-status-quo,3.6680312235894217,1.2669418780902617,1.930431710820696,-0.0016491735812545394
26,oh-status-quo,3.593287014366658,1.1188171100178785,1.4767140217908419,-0.0009086143132918027
27,oh-status-quo,3.650308817665037,1.0669841680607268,2.506880798383083,0.002239570248993323
28,oh-status-quo,2.41984474242704,1.1573432617920276,1.983456849057009,0.0023694602426263026
29,oh-status-quo,3.945043154809955,1.281543002330602,3.4187519755826923,0.0025846666493882556
30,oh-status-quo,2.5858706543233607,1.0293617359356364,3.03766416069688,0.0020841349503372512
31,oh-status-quo,3.199336620470448,1.0554684864051167,2.1165766265333366,0.001566888451386661
32,oh-status-quo,2.7704629864343873,1.3129314085670751,2.2337615598854286,0.00041657116558408027
33,oh-status-quo,4.227572498175984,1.3079957064666587,2.7733971190741697,0.003133632887207869
34,oh-status-quo,1.9734992420561726,1.3600355437632627,4.08990531947872,0.0061006362567555565
35,oh-status-quo,3.5850327002056384,1.0708931424576873,3.95972734238483,0.002673732336510584
36,oh-status-quo,3.1339680605355023,0.9770335580536531,3.2781615362338936,0.0012961455788397518
37,oh-status-quo,4.442861285535346,0.8799970988327035,2.60668284512349,0.00016015158872192693
38,oh-status-quo,2.1465782200736956,1.0448918797658573,3.593607527867367,0.005892348939869358
39,oh-status-quo,3.6107547517710437,0.8567003896067377,2.282573261394562,0.0009898899160518519
40,oh-status-quo,2.716973543279797,0.9922778338044312,3.79193673732566,0.00389556606109994
41,oh-status-quo,4.409467918175947,1.0842077157136463,3.8986858269921387,0.004251660880532071
42,oh-status-quo,3.014982038035094,1.1454215118065807,2.2384267869411674,0.0021854174315553494
43,oh-status-quo,4.177439415558345,1.0176768386909574,2.1555246834401913,0.004495612263880721
44,oh-status-quo,4.169571274465516,0.9966017469009267,2.20826133683953,0.0003017256794761341
45,oh-status-quo,3.9183790409469825,1.1519760295401713,2.613784340589712,-0.0006904584032438122
46,oh-status-quo,4.426375664055927,1.1318417213077276,2.757801986342871,0.0035461217033918636
47,oh-status-quo,2.1274195402510534,0.8678429310200749,4.214477284136665,0.00476171001635018
48,oh-status-quo,3.0897593429354275,1.235332373076591,2.3981328762137952,-0.001201542154876377
49,oh-status-quo,2.6845719003820125,0.7915867288732266,4.157364066657167,0.0037225248482022077
50,oh-status-quo,2.75465652922935,0.9295326326681438,3.3582727012019298,0.0016845382403047216
51,oh-status-quo,2.83891264669046,0.9366912965881233,3.8324620770278406,0.005147790593203939
52,oh-status-quo,2.687493133089615,1.0368452649102098,1.904382628558277,0.0020838963437738458
