peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
1199451306.9109728,2068,51613373250.35658,2081.0,50_percent_of_peak
4389893319.756898,2037,177412027863.05984,2085.0,50_percent_of_peak
1858741115.579956,2075,93483012145.71483,2089.0,50_percent_of_peak
3976079968.7572765,2086,186401211742.71298,,50_percent_of_peak
1780456046.140929,2040,54513792256.934875,2064.0,50_percent_of_peak
2515330517.6413536,2033,82145884037.36076,2071.0,50_percent_of_peak
1259647672.6944513,2068,59714861519.77639,2083.0,50_percent_of_peak
1049499179.8819698,2067,42489374821.54617,2081.0,50_percent_of_peak
5742418379.321967,2039,252219486920.49066,,50_percent_of_peak
4620120039.487531,2037,194170134054.3419,2088.0,50_percent_of_peak
4123377563.7238812,2038,202554969113.00644,,50_percent_of_peak
3138937897.1258426,2036,161107402919.83957,,50_percent_of_peak
3174240043.7768207,2037,142116684141.20898,2089.0,50_percent_of_peak
5275762929.892175,2078,243493125482.28165,,50_percent_of_peak
6620014595.50549,2035,183918576725.68338,2053.0,50_percent_of_peak
3307196903.5919275,2085,142780249959.054,,50_percent_of_peak
2115979679.6342733,2085,93708295188.42075,,50_percent_of_peak
4805964804.072682,2092,204965341568.1429,,50_percent_of_peak
1147191687.5794857,2039,51285837320.21646,2087.0,50_percent_of_peak
2112768942.4862373,2039,59268521695.62434,2062.0,50_percent_of_peak
2072167228.1066182,2073,103908915542.97826,2087.0,50_percent_of_peak
4595396937.474812,2037,165363361432.5582,2077.0,50_percent_of_peak
3995719979.386759,2092,176144113499.09787,,50_percent_of_peak
3542737611.5104823,2080,181393933311.60815,,50_percent_of_peak
3005794794.0775013,2090,116066637977.38617,,50_percent_of_peak
4867357336.449874,2040,173700985418.67972,2076.0,50_percent_of_peak
1771443132.0904307,2040,43248758354.50846,2055.0,50_percent_of_peak
3464557867.2187085,2038,183630472836.28064,,50_percent_of_peak
2132088939.0030327,2083,93873395852.59972,,50_percent_of_peak
4463735487.590945,2085,215939717798.68338,,50_percent_of_peak
2272644147.1359906,2086,97459255000.57802,,50_percent_of_peak
5360556005.95489,2036,276735378391.03235,,50_percent_of_peak
2405562971.930718,2039,119751170785.37894,,50_percent_of_peak
4354114080.387142,2038,203351308775.6834,,50_percent_of_peak
3161844756.5484147,2086,131828748890.69424,,50_percent_of_peak
4676715742.618783,2037,149890167147.87576,2067.0,50_percent_of_peak
1797729488.205092,2040,67767414887.587715,2075.0,50_percent_of_peak
1292908438.0643108,2069,57673436878.98235,2082.0,50_percent_of_peak
2709997804.4385853,2092,116530193223.00024,,50_percent_of_peak
2672344023.96007,2041,121320600058.32175,2088.0,50_percent_of_peak
2969501062.493571,2079,147418021247.90103,,50_percent_of_peak
2057419674.6605477,2040,84476978508.51279,2081.0,50_percent_of_peak
2337655906.099401,2042,114871694896.34901,,50_percent_of_peak
2417403609.935524,2038,71972026250.2131,2058.0,50_percent_of_peak
2128565006.6241744,2071,91372050870.53922,2085.0,50_percent_of_peak
3704790464.2943454,2042,185559608851.1332,,50_percent_of_peak
3933842035.4026513,2092,180428074126.42773,,50_percent_of_peak
4716181577.153334,2039,191590623188.70782,2086.0,50_percent_of_peak
3422642846.747877,2038,115554240715.12868,2074.0,50_percent_of_peak
3645260087.15927,2081,193157111082.9045,,50_percent_of_peak
