peak_emissions,peak_year,cumulative_emissions,turning_year
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
7534530794.9858675,2036,150703580999.8289,2037.0
