peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
2114124536.2949286,2066,82736354150.86809,2080.0,50_percent_of_peak
1886620409.8687708,2092,77440390726.159,,50_percent_of_peak
1930555632.8182933,2037,79394869169.08958,2087.0,50_percent_of_peak
1601881558.1228235,2086,74648437665.43784,,50_percent_of_peak
1095728873.3256533,2092,50532873145.19123,,50_percent_of_peak
1102350802.2967987,2039,56293832996.13975,2092.0,50_percent_of_peak
671578783.9277649,2085,31877324976.46554,,50_percent_of_peak
1187980749.6190717,2081,53039468172.476494,,50_percent_of_peak
2320050944.8731556,2037,92960326410.52878,2055.0,50_percent_of_peak
1298530207.5633187,2089,60300064400.614235,,50_percent_of_peak
989282124.0513394,2036,32142416202.666718,2067.0,50_percent_of_peak
1135809147.6049056,2037,56533861219.771774,,50_percent_of_peak
3298496580.3303566,2089,141637602767.019,,50_percent_of_peak
1626456506.6846912,2036,75402928686.81277,,50_percent_of_peak
1465624589.7146327,2086,74648054320.9408,,50_percent_of_peak
4347582621.717915,2086,183434341326.33945,,50_percent_of_peak
1836718093.9950347,2080,82066208588.69432,,50_percent_of_peak
1581800378.7715828,2037,61221217814.16441,2083.0,50_percent_of_peak
1095700107.8948991,2080,51709721420.76383,,50_percent_of_peak
1614722523.5287366,2040,71788446110.16689,,50_percent_of_peak
1956234510.57794,2081,91822199881.56216,,50_percent_of_peak
1777387040.8769674,2036,65398043697.0314,2047.0,50_percent_of_peak
1696512970.2551348,2079,87214566933.6251,,50_percent_of_peak
1583597229.4235985,2038,69966486235.31303,2083.0,50_percent_of_peak
1538258277.7308772,2036,63478274736.19519,2085.0,50_percent_of_peak
2446014558.9650064,2038,78167254924.08957,2053.0,50_percent_of_peak
950268797.7922978,2068,43622828797.79584,2081.0,50_percent_of_peak
1405741011.9282181,2087,57251134787.39279,,50_percent_of_peak
946706671.3356763,2080,50019974545.640015,,50_percent_of_peak
2120098726.7080464,2092,101413375857.96196,,50_percent_of_peak
1911818427.8739982,2035,93053528598.86029,2088.0,50_percent_of_peak
1360143770.3048577,2036,71218818977.71362,,50_percent_of_peak
2175065987.7237163,2035,74972357273.75783,2044.0,50_percent_of_peak
3964978813.466354,2037,149657470415.97678,2055.0,50_percent_of_peak
1660946510.505842,2038,60993706801.193504,2080.0,50_percent_of_peak
3089946400.3912444,2092,157731683453.64667,,50_percent_of_peak
802226803.903882,2072,39587017204.43007,2087.0,50_percent_of_peak
1669363901.55166,2082,82675506456.43144,,50_percent_of_peak
907404271.6442441,2036,37792698287.23485,2088.0,50_percent_of_peak
1464006898.4931083,2085,68222105844.98854,,50_percent_of_peak
1295791406.2680569,2035,68024423313.99992,,50_percent_of_peak
1171465510.9421322,2033,52729783431.72694,2042.0,50_percent_of_peak
1806752638.730578,2085,75344778656.9322,,50_percent_of_peak
3780477909.9363317,2080,163356482752.0137,,50_percent_of_peak
1919557231.4852571,2085,82529210548.26624,,50_percent_of_peak
678037527.7806021,2036,33039559218.289932,,50_percent_of_peak
1387619013.6238563,2083,73692689087.6115,,50_percent_of_peak
2789242515.8743014,2041,106286919283.20923,2078.0,50_percent_of_peak
2324397121.006927,2041,95218722039.22397,2083.0,50_percent_of_peak
1819848660.2833402,2079,93484468651.49568,,50_percent_of_peak
2261306334.5186205,2084,99572939647.8025,,50_percent_of_peak
1211083251.2443697,2083,53030878418.463264,,50_percent_of_peak
1173676912.2910514,2076,57775633608.33349,2091.0,50_percent_of_peak
2776801589.7051706,2083,134440049393.01389,,50_percent_of_peak
3274076324.4905205,2039,69689765492.89952,2050.0,50_percent_of_peak
2187129079.335136,2035,102830864965.84921,,50_percent_of_peak
1435373663.043333,2085,68776025205.9359,,50_percent_of_peak
1397433408.5735085,2091,53704908489.68495,,50_percent_of_peak
2213670481.9409313,2060,89218421630.35547,2072.0,50_percent_of_peak
2521991454.357414,2084,108623695386.82709,,50_percent_of_peak
2416127241.6408415,2039,121417602996.95364,2092.0,50_percent_of_peak
1800681555.0477438,2035,82406013264.64702,2086.0,50_percent_of_peak
1020867412.0314867,2083,53076643158.035774,,50_percent_of_peak
1480315330.6659489,2092,70670150059.23756,,50_percent_of_peak
2623505526.428878,2086,135685779645.22153,,50_percent_of_peak
1505290080.8362677,2036,72618407760.69965,,50_percent_of_peak
1829376550.5339973,2038,74901819679.75313,2089.0,50_percent_of_peak
3881996790.771837,2086,160417786480.55032,,50_percent_of_peak
4289165482.369692,2080,184192625777.6991,,50_percent_of_peak
2610481403.9001126,2077,121556401965.37894,,50_percent_of_peak
1763016417.2238994,2092,72750662011.38104,,50_percent_of_peak
1215392379.03928,2037,54696633608.06207,,50_percent_of_peak
5150570444.064689,2040,194702760902.83768,2061.0,50_percent_of_peak
1642226989.6984706,2080,71812864502.47252,,50_percent_of_peak
2160485621.3232956,2071,107409327184.91039,2086.0,50_percent_of_peak
1787471101.2954497,2035,89930086614.61823,,50_percent_of_peak
2086374355.855526,2085,93946248209.45262,,50_percent_of_peak
4922417582.626339,2039,187135386329.5518,2071.0,50_percent_of_peak
2022747414.905792,2037,98251345997.7725,,50_percent_of_peak
1889197052.5615814,2037,69398499468.81656,2079.0,50_percent_of_peak
1119108018.9533343,2072,56018605096.39143,2088.0,50_percent_of_peak
1960101285.6056743,2084,104732279749.31485,,50_percent_of_peak
3332481072.822988,2042,140478208307.03738,,50_percent_of_peak
1946882373.3241,2079,99637210991.9806,,50_percent_of_peak
1410381061.0615954,2038,59912843541.12259,2085.0,50_percent_of_peak
1758663237.785756,2037,92496396283.57927,2092.0,50_percent_of_peak
2539628933.618954,2038,113862764919.4598,2089.0,50_percent_of_peak
1975422889.2670062,2088,92993569326.5393,,50_percent_of_peak
2403814087.608694,2035,113778808064.20325,2047.0,50_percent_of_peak
3326989292.9632254,2042,134808269911.09512,,50_percent_of_peak
3331124717.244739,2038,162498867326.49854,,50_percent_of_peak
1537151302.3254066,2089,68871709200.9212,,50_percent_of_peak
2505870561.859543,2085,114675993300.888,,50_percent_of_peak
2109079340.3652868,2036,106563268819.2291,,50_percent_of_peak
2566129011.031965,2083,112108337186.49869,,50_percent_of_peak
4048436198.6612396,2081,175775105770.1776,,50_percent_of_peak
1478889925.6677752,2087,68727865487.59473,,50_percent_of_peak
2080510638.1539035,2086,105477334713.24985,,50_percent_of_peak
837586398.1938922,2075,42196928676.228806,2092.0,50_percent_of_peak
2723463931.119851,2039,109116221904.80151,2057.0,50_percent_of_peak
1035115006.2680944,2080,53102918866.87869,,50_percent_of_peak
699381192.2956524,2069,28881962085.431416,2084.0,50_percent_of_peak
