Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95,__uncertainty_injected
2034,783808634.1769501,1131884020.5467286,1703524827.1101215,550399208.7830043,852188184.96297,1280420585.3650892,526145.2400431331,4930469.397926757,15459218.381783772,546767108.5816534,844359537.3698156,1273885367.8568237,227223755.38697067,298427779.86256504,396222640.7298055,61195.333286448404,647987.3851695168,1818282.5476121954,469136.88617878314,4105221.3358002584,13434586.403013289,4135.616941614424,47808.94636815567,133982.48076766316,91169833.67083183,110754661.37001409,134631690.5543289,436061272.18237525,721191062.4879311,1142290967.8002625,6948889.521866073,8192921.722492627,9913967.955602441,9090064.302410169,11431790.225762894,13777805.991451906,205848267.96581995,275717646.327005,371730464.78283936,9168223.000081846,11157766.274903871,13651989.210313672,233380378.7685417,304705157.2067273,402717896.8654041,546767108.5816534,844359537.3698156,1273885367.8568237,126337011.40032236,195238012.02388072,329199016.7791317,20499499.800180513,107991689.70227379,175646873.7322394,920869946.9103324,1405348069.005124,2376673451.367503,876388247.9381694,1356966572.428691,2293322117.767602,87024.2348449147,886097.9979275768,2836734.703058946,876097393.2771436,1356715151.7520423,2290895278.968315,18889269.526589237,57350169.88515643,97697245.71176612,8839.164542713086,117554.41854743838,357002.5978723306,70966.39443459951,751088.3516364063,2460028.866610316,808.5928422131743,8901.691757988065,26236.048362018682,144540191.70515716,178323509.4375701,236855437.53460866,694073526.8936678,1146643620.3612244,2044574592.3013666,10563834.525277954,13558902.292898491,17464430.77248767,682035.0832459639,2252556.722697378,3511408.2960079927,17276069.967483215,52633240.69756992,91423360.14718194,724954.549829594,2201334.617846849,3327908.362289188,6969669.282769557,8204025.170355419,9647646.807218784,5312.722788296095,55222.09676205623,156067.74360238953,6881520.266286918,8144996.91928945,9548318.000250211,285646.9843383402,336448.8961632693,394592.28300595173,266.8,3084.0,8638.249999999995,282157.981992954,331761.6627307782,389097.7547017269,143361.0,171441.0,200960.9,13921.894546691894,16648.76446857517,19515.464162556727,583147.2161201942,687753.5330439354,807527.8189789933,0.0008139399240525557,0.009452801158553709,0.02591698862452249,0.4729961103630423,0.6398079042477838,0.9237952285265166,5827971.216102888,6874113.5491693225,8072671.857218786,1
2035,827257135.1994829,1208159290.1942923,1858612647.4707432,587926336.9211042,920841310.3683443,1396304348.3946974,619365.68620978,5687034.494436132,17971839.510627393,584403649.3044893,909908514.7673187,1383210883.809171,232260949.63709185,306487696.8873905,409445864.5536437,78382.90476186357,831596.617136179,2299313.8680115687,545294.3866041398,4578211.503849469,15746906.991181286,5307.341463636277,61740.53486618072,176375.24906279167,109028147.49099928,132662639.75305238,161295703.8461173,448913481.058656,757727508.7806041,1245324580.181014,8317503.85565676,9814113.849354818,11876745.217854254,9997112.498925477,12572506.54660017,15152618.496702367,208410346.36168784,281261354.45614445,382312348.47522193,10083070.22896993,12271139.232464522,15014247.141622059,240113256.0933818,313946985.8056907,417301107.94304216,584403649.3044893,909908514.7673187,1383210883.809171,135131173.1421392,209188928.2527786,356162403.15494084,1844382.1157342598,99886119.88533762,174520302.06180218,974383868.1881468,1506040080.3989944,2621129380.919011,940093321.3297005,1462870437.5761929,2503875389.008872,86264.85279695595,866463.5464709885,3166249.6889829813,939221085.4677933,1462610098.422225,2501237940.1986156,11368716.393755194,53803576.92913028,95987462.32581179,11247.407036074175,133495.43488441556,434134.759271933,68032.31191337673,717526.2534588149,2697162.270932565,995.9563806597287,9786.812982503187,31592.02155378227,172999451.56464416,213388804.06138474,283636048.81616426,716620367.97191,1209688949.8973188,2217092970.887515,12647382.535186779,16226866.073716575,20924476.620131247,516113.2030429603,2288012.297861347,3732951.317676177,10390774.026053555,48753796.60358967,88369002.80088861,464479.72665677767,2229050.8632184034,3517288.107777293,6981576.709146735,8228591.159771631,9667488.94966458,5371.761709786724,57778.7539499757,164142.2807851498,6900457.835054824,8161882.930995502,9561399.42329595,342375.4015972373,403325.36903582804,473091.31570257584,341.6,3967.5,11272.249999999998,337915.6258956529,396302.9316476265,466082.8568165353,143361.0,171441.0,200960.9,15311.084867084352,18310.054343216132,21462.806445725488,583345.1655864437,687915.0971803227,807670.9722354778,0.000864408887937396,0.010107687000666216,0.028576357062881867,0.4890050133551545,0.6720303127444394,0.9898284816125223,6410727.675813399,7561687.291559964,8880001.474664582,1
2036,867770628.9501947,1276346587.4131835,1998065965.5133889,624651148.6435608,983825267.8416121,1517244027.9392903,722404.243520726,6448717.1080765575,20645834.308254212,620894680.4923279,970828226.3884401,1502207094.5658169,236530128.53968605,313686558.6366055,420897060.9291189,98749.48357027424,1035382.8094222327,2959582.5615762114,589199.3781369247,5139434.2711380925,17734388.022956174,6729.750809506795,78083.9302064761,227238.27129713018,128419701.3729748,156422391.37480435,190328899.3568724,458118018.9571194,789221183.6857905,1339257348.3526616,9805472.93269573,11579209.149305325,14013883.546218248,10903937.69636242,13712942.420721162,16527093.00235945,211159310.68233868,286265296.49948704,391710141.79739946,10997692.54137654,13384238.465713317,16376170.159896778,244812634.69921398,322446817.7233248,434343669.0064656,620894680.4923279,970828226.3884401,1502207094.5658169,144435646.20659325,226692185.5129782,370732775.5169629,0.0,90953790.52542257,170385761.68883768,1025043004.1475576,1601492102.8108475,2825060518.829194,995706158.6934445,1561660074.4219391,2722267219.060963,82991.24923263618,850330.2121235847,3332833.1178924358,994804630.6023636,1561401084.2630403,2720673229.808836,9189257.672729487,49791438.19980499,93826497.80443512,14148.997790854037,147201.4649909197,516552.6623630758,62531.751924496406,698705.3834078247,2872261.0429107286,1172.4428340559514,10664.754696093545,37948.300793134455,203943621.72966635,251479503.02576548,334519998.65845454,733701709.6735219,1262947516.4122963,2373022858.1115837,14914078.573977485,19133755.45558887,24692897.880412806,394351.28878136474,2306097.7463078643,3921759.7951018326,8429438.142383104,45376459.886696845,85653430.8516845,385846.83271621104,2253094.2878645537,3664700.1546689006,6993506.070672022,8249320.355440753,9687371.922826579,5363.539774322738,61789.05077704917,173045.1258679548,6922491.163276235,8176755.495598288,9573882.446848607,404273.9304995042,476290.77763601416,558734.0085906319,430.65000000000003,5040.5,14341.649999999998,398657.1102588246,466478.77718918433,549914.1809852817,143361.0,171441.0,200960.9,16699.9336530773,19970.935787398423,23409.6699720475,583587.3642783612,688120.7135803327,807858.0978615428,0.0009180080257677449,0.010798725473295957,0.03197789399527038,0.5055874580619117,0.7069052394675497,1.0,6993506.070672019,8249320.355440753,9687371.92282658,1
2037,866376261.8475746,1287010091.044901,2071489425.221412,618299701.8297739,990929839.1032081,1578750716.1423728,805787.6469768689,6818400.845289768,22682766.263225928,612476859.4000468,977854027.1997172,1562212727.527333,240242757.5511986,319184280.41766757,430893325.43854076,121996.28227731853,1291227.2857143069,3808113.900188688,603017.2826050508,5377822.851266071,19289505.46287329,8365.176915127806,95819.90774455543,286807.20397985034,148208195.8612792,181018905.56345066,220266869.86902058,418476264.1426778,770882238.989481,1373118142.5516815,11316873.439018434,13394196.316869501,16243415.025540408,11810532.977580339,14853089.149034385,17901219.024116457,213228620.93789968,289348492.0822826,399279693.692081,11912082.96068567,14497055.484078985,17737747.876572195,248784332.05022022,329152229.6605664,447031563.4893468,612476859.4000468,977854027.1997172,1562212727.527333,151990897.81476045,243359344.6594499,383405255.6243834,0.0,81821904.71048948,162498227.18833622,1003889914.2401495,1614373402.0608382,2915758062.416047,981612285.8601024,1572979586.320614,2819337370.2176056,71561.8713604492,804542.3801182341,3554299.032053404,980760549.4418695,1572776010.766333,2817706565.448093,8201407.313022739,46734095.35907897,88935039.48689972,17033.072652260777,154824.92081139015,599985.9478054857,58581.22862405904,661821.1694841189,2806075.083848218,1280.0852334657231,10907.658333730888,44019.523957597485,236260909.93699557,290700980.68356895,387698144.0213968,679029017.1470832,1235684844.7978485,2415186689.2529774,17254972.538769025,22154517.67640027,28512950.96337703,365157.20339565835,2203102.5779231056,4038210.5036171377,7493840.480680868,41934998.64094499,81682853.80843404,354254.85169243155,2161923.7730422462,3742612.8616438634,7018325.968320505,8271278.446730449,9709796.263561651,5746.224158225837,65413.26644779576,182980.118425482,6938768.016880806,8188222.764639344,9585351.573879462,473989.29214008007,557718.31656426,654313.8507094602,537.75,6285.0,18494.449999999997,465878.62992320984,544379.0609600148,642509.9194978664,143361.0,171441.0,200960.9,18088.430310718966,21631.39613214173,25356.039891109598,601362.5642991567,701811.8880179692,826859.4266286072,0.0009749315299598081,0.011440877328893151,0.03477304871818818,0.5227325618343862,0.7483796317160263,1.0,7595127.326453636,8952080.669618202,10508728.9968543,1
2038,846082636.3590086,1272087221.7794838,2087857708.2104955,594268641.9342232,964434690.3582089,1600187721.599502,822775.8875078709,7062376.981157111,24420053.2020967,582968801.7812549,951062461.692839,1578760107.5170865,243551253.5318634,324316972.59760463,439570145.68862015,148223.9835110594,1588692.0570246577,4696411.422795359,628401.3628406033,5374949.272893047,20243203.934019435,10205.147621855389,115985.44113585705,360923.3786693193,167934220.47393215,205327112.459583,250071856.77869475,365040051.85095996,722152244.4811358,1362859876.845924,12835506.347970827,15224017.559940755,18475228.980887145,12716891.143073706,15992937.677342402,19274985.649686407,214602607.60868913,291776878.3041229,405530436.0226714,12826234.225488609,15609581.450396325,19098969.479010627,252581922.99627423,334185989.7293565,457653099.3907161,582968801.7812549,951062461.692839,1578760107.5170865,159087726.20153087,258864836.329891,395289339.3704281,0.0,70787364.89668903,156999663.35996708,955673414.5946211,1576050941.84874,2920568061.224702,936136081.763513,1524628316.1166372,2835238147.0054026,70562.91032439956,769079.8136704302,3646198.509555042,935375989.6652282,1523551379.6674774,2833643405.8550625,7979659.454024211,42458548.15051569,84121312.1257864,16182.469748189578,166547.94455624875,684292.3131372301,56807.80408157276,586438.4795730503,2714343.139635702,1228.053665329011,12160.099821147935,49710.53276710705,267955382.2181219,330051113.49756014,440923918.3706128,590080902.4178729,1153489464.062396,2371188666.764798,19597121.100178916,25151041.338796586,32314042.095379245,365638.70076157135,2036037.4483607695,4173026.329819169,7225789.922205572,37865857.06793198,76377185.59310068,344140.51497403334,2062370.2978782803,3887449.9543189635,7039207.024852972,8293296.188477242,9738537.758225176,6154.437168586435,70550.39921468831,195630.9628912893,6945150.436121669,8190474.433879225,9596239.131781194,547525.359782752,644929.6392845423,757566.0016838193,664.85,7746.5,23327.449999999983,538767.0209838612,629420.1153608488,742420.4016838194,143361.0,171441.0,200960.9,19476.563813601468,23291.42219130481,27301.900746289317,601406.6031658327,701845.3099949332,826944.557595905,0.0010353856439519844,0.012159551391790622,0.037821127700582734,0.5404594289279002,0.7822684383556477,1.0,8192764.212713623,9648902.31335932,11329377.257831136,1
2039,816794555.2495967,1241157133.885304,2065314986.7085648,563868402.4467808,924219480.103879,1592071723.7419026,819718.2338096203,7266819.317453617,25790743.342445053,548991549.9155482,904984817.9164314,1569034297.7141168,246498630.45422953,328840982.2639564,447146940.87849957,177602.8370895304,1899630.188444982,5846972.91029822,601326.1812307239,5247835.782978478,20693463.796921235,12287.246524914042,139746.12336469145,449352.02732380177,187603025.32010582,229441025.29035768,279825565.1862519,310285434.9587157,656134981.1216104,1322841637.2872133,14382411.280981205,17026354.89558327,20708684.49562049,13623004.696763152,17132478.57847242,20648381.51726549,214934073.88722265,294172439.10328424,410628194.0207082,13740138.775252776,16721807.163465124,20459823.70916249,255878534.43237257,338493929.14059544,466753452.1398146,548991549.9155482,904984817.9164314,1569034297.7141168,166214631.39944977,269652707.15416276,418512720.40002143,0.0,57915880.526538014,152609519.96902278,907366777.6718107,1507811075.3378038,2868171288.057898,881553096.4898169,1455053005.3367562,2794362885.1027436,62188.8656383753,678509.3580601417,3675525.294555284,880880417.4856808,1453300242.3036447,2792890784.4735403,7892207.937780477,36847607.92954407,80522997.5631193,14564.606246861738,171157.9895777913,765494.993846188,48541.70704927019,506209.24114563724,2617843.0701826797,1012.6867868748768,13164.773564802163,55610.30278566456,299223919.09664583,369436457.8029897,494182819.9556567,499924689.37299395,1038763262.2394824,2272097208.7246904,21940238.473435566,28071962.5929102,36109595.04235477,391691.466235931,1911798.357833358,4198530.560651406,7150705.317939836,32913068.76612655,72445469.16280353,368661.4754417556,1937175.100118942,4001264.0421085935,7048890.880745065,8310111.913616547,9767364.577793717,6589.883696100462,75697.387276845,213303.25598380595,6958700.996167237,8185052.0626017265,9609503.041991878,626319.4980547817,738000.8524498043,867724.065066296,814.95,9473.5,29680.999999999975,616896.2797278123,720773.7364706203,849936.4667770272,143361.0,171441.0,200960.9,20864.322681099024,24951.00023556126,29247.23644424964,601452.4806099923,701880.546659031,827031.6263945175,0.0010995894102915466,0.012911832857257194,0.04203064530544259,0.5560136096497906,0.8126825260706716,1.0,8771973.161171537,10339786.240377884,12143085.317324968,1
2040,790402763.8113996,1202391701.0206265,2022073162.7126174,529975634.3191956,875599069.2481815,1562342428.3221796,848577.855583787,7401837.507343328,26889311.375066515,522672363.2595758,855345932.632883,1538000250.7673383,249197655.65016085,332876235.5815017,453666631.7216414,210037.5300884524,2234784.214541846,7197749.72632759,577175.5272738216,4952015.237438891,20751590.453458887,14618.064971508795,167556.2044596477,553170.6428704836,207199128.25841495,253577554.45400602,309559126.2354061,254286554.49287322,584049740.5162413,1262126436.3328753,15930244.247227924,18815284.335921414,22942597.411103394,14528865.830941381,18271702.033344068,22021394.792715587,215581890.11284655,296072184.316113,414719572.30111367,14653788.735138211,17833723.03957175,21820298.840957183,258762480.35128346,342489262.79428864,474618293.1228778,522672363.2595758,855345932.632883,1538000250.7673383,173489101.8370097,283696733.2451632,426915716.0460855,0.0,46803617.27450648,146385065.84995005,852393750.1279069,1429234244.353059,2779629756.1759896,830111698.1172107,1392272242.268743,2715523316.664503,51975.029516897164,581048.9710142303,3327026.38642349,829575100.4538589,1390786881.4332762,2714213831.4968414,7308649.425815694,30551500.19822599,79057827.49315634,14887.142385203668,159513.96995754645,840145.5263733475,41347.98760243745,398608.722604794,2462520.5622085757,943.2114993088011,12448.239034854829,61049.08293147327,331210900.4171454,409285048.9140316,547456610.5590545,410115991.03598416,913746239.3134212,2175155738.2338524,24281874.20057686,31024707.26408065,39898303.94194707,416090.895623657,1659907.5200226102,4329705.413765145,6431163.756639065,26616278.707729343,70288532.17264585,385129.28961588425,1715985.2250717056,4031755.8378401566,7058588.077164795,8323670.947031196,9793295.566239646,7055.551794955257,81719.9418636031,231099.93628317412,6976441.431961429,8180478.956085368,9629575.457673404,710410.1097497989,837275.8839631022,984531.0943332613,993.6,11511.5,37447.649999999965,698434.9268205028,818247.1561714304,964381.3253304011,143361.0,171441.0,200960.9,22251.694955311894,26610.115964827437,31192.03022261938,601500.9557709557,701918.357103229,827121.3923929804,0.0011677754651755726,0.013653973478716514,0.04665920978511132,0.5713408162732441,0.8554069889240855,1.0,9345754.891990675,11018030.063264925,12949854.549293093,1
2041,769323402.9474018,1157895895.8642068,1967249627.428522,504850097.9167144,824437904.470423,1506749516.3865373,847937.7906997154,7505186.00967912,27794522.804843407,499952988.2245392,806269854.7821624,1493088381.2353215,251975357.67629597,336525510.95191073,459458813.131963,246275.25641111282,2627101.4363686955,8776696.196681459,554127.487791151,4607187.485714531,20588257.48395398,17229.270680162776,196501.76397222152,673868.9919685362,226848663.66861054,277401912.6172375,339264713.3580767,204006047.4585886,511556746.76380813,1188008244.7791777,17478107.27257902,20635633.390105247,25176766.656616364,15434466.410316294,19410597.810901817,23394013.14537848,216064005.7759142,297743300.28859687,418084139.60950965,15567175.899903499,18945319.092902604,23180382.65633813,261406683.30847257,346440146.8659817,481915396.04109365,499952988.2245392,806269854.7821624,1493088381.2353215,180980851.9618778,296961332.7935235,447956787.7695259,0.0,32802719.94920451,139221183.77805057,803543865.3354833,1352301892.8363166,2669392888.9693146,787514742.8489585,1326030654.7682848,2616387815.170095,51221.19161130245,454076.5371173882,3140483.891058973,787125667.1324366,1324823697.3934994,2615272111.075892,7191016.022345508,23993695.49043113,75155089.83600569,15486.891743931263,161713.30480713816,887046.8370308541,33255.43508147754,289217.9181961036,2214895.7028209385,1004.6952099063203,12026.506175208777,65944.98636021772,363512041.1722158,449201162.6659679,600725802.6000303,330057376.353917,802713282.5838165,2088304896.2897568,26619752.699978728,33996410.35019545,43678900.158851184,406719.9267123268,1382126.957198232,4299825.248521031,6215331.5418653665,21102446.52805298,66988801.1037622,400011.49449088203,1414252.6526462808,4137434.12213101,7068935.472724437,8337255.600613067,9809513.15680097,7555.182228268972,87719.59230115917,254089.0707034137,6993707.344038566,8188811.711701352,9649266.26436991,800342.8918071059,942756.3318487669,1108639.6544317089,1202.15,13756.0,47227.499999999985,782530.3834780798,921565.1522556124,1085697.510240127,143361.0,171441.0,200960.9,23638.66817662759,28268.75447903691,33136.264615735374,601553.113084637,701959.825717011,827214.9402569429,0.001240190882331843,0.01504027533255391,0.05182833670177052,0.5899917912509118,0.9015851165641962,1.0,9914416.261004534,11690095.783365244,13749597.527010242,1
2042,750978592.3180611,1115109628.9723485,1907393548.873761,483193207.19195724,777413141.6160846,1442054795.3234477,850558.6850075469,7619855.348547423,28612775.84681722,479880861.4046034,764251248.6579716,1428935077.8370855,254446232.25164157,339869883.48494697,464652569.58556825,286363.2050982521,3129108.857888539,10593800.788275104,525588.8680385433,4199237.245364797,20142315.243743792,20146.354436967296,227941.0176892723,813329.5115256829,247018119.63877508,301459318.3043019,369502050.3995131,161366346.41698727,443681272.9028393,1106202718.1678426,18968783.233785078,22455481.29593961,27431791.321075443,16339797.955089305,20549155.246834014,24766223.722427614,216422848.46849474,299182180.01191753,422362999.2027892,16480291.716838565,20056584.914773256,24540062.41984879,263940869.9304592,350198153.4815898,489586584.2000402,479880861.4046034,764251248.6579716,1428935077.8370855,189031671.83402386,309598367.3040864,463228813.79276663,0.0,17348334.270616002,128353091.97200473,796632139.3048556,1274412159.7537441,2548758246.7140036,764468492.2060964,1258348526.0486765,2507851440.7188034,46300.88161160478,398183.4979239127,2925923.03914065,763822725.2988695,1257845212.871736,2506969831.9506893,7175979.949297532,17190442.19658626,73112164.7167624,16727.94898280443,162777.55981031084,968666.684470798,30282.12516756622,227638.3354230908,1928772.976699172,1158.3645143476977,12552.33931207022,70356.50866912234,395817640.48011297,489182329.7534214,653969980.5354991,261747181.79898474,698017375.5203456,1907202065.4306695,28896402.802421153,37010190.626554556,47449824.36558905,430576.68792140385,1109276.1997858407,4354756.150991628,6152323.146175373,15263860.123798318,62970360.28332537,422684.9770208671,1054162.5943172926,4220618.479932865,7086235.284257943,8350865.927575547,9825695.963071482,8088.45111179381,93697.90095846335,277763.3090683578,7010444.870599477,8201224.671549567,9668550.931772944,896088.2955816963,1054444.1387950224,1240051.7288472415,1443.55,16451.0,58159.89999999999,873537.7650947185,1030974.0366616357,1213741.89064771,143361.0,171441.0,200960.9,25025.229357804456,29926.900247147787,35079.92141831325,601610.5016962987,702006.5015991135,827313.8193619008,0.0013174601350054676,0.01619163804863915,0.0569212974029564,0.612073368992025,0.9465159429881735,1.0,10477961.74857071,12356150.436193477,14538039.001208972,1
2043,737923588.1182125,1080120159.063853,1847104948.3466249,473135909.04546094,740770134.1217345,1380248260.5567138,859003.2028524475,7788592.211173627,29417234.756681878,471661331.5337944,730006245.2638912,1363913159.5559566,256820568.25570375,342974072.64611614,469354050.69280225,330937.6696159253,3590453.4330528136,12363765.360012691,494137.7601051671,3796370.0235814536,19131486.494537894,23428.317149735492,264336.01075017743,959702.1612887568,267186594.3101107,325565764.58947325,400392326.2510093,127447672.76504603,384222704.69646037,1020710818.349869,20448734.576975055,24279766.479395702,29726024.710552894,17244851.62300192,21687363.220994435,26138013.121656146,216689967.48058197,300014383.38562846,426403118.7892814,17393127.26765692,21167509.65159122,25899324.851669185,266462431.2763447,353459232.84184015,496510774.6804176,471661331.5337944,730006245.2638912,1363913159.5559566,199599110.08933482,317433671.51682234,471884208.3435485,0.0,2307700.1792046074,123078092.20302123,774374109.2904953,1205132030.93852,2425298332.68633,751783747.5355599,1192600760.6710286,2407235258.308021,41178.581802156164,394473.9072759426,2562877.1560446667,751586117.9381996,1192119001.189655,2407157159.243962,6730493.367245896,15890735.185336277,70919657.72124904,16569.20293059218,170224.26919734536,1039687.7747008534,23714.514062349135,201967.12435226684,1544847.5472826755,1280.8053138486177,12960.404378356696,76442.28457086958,425974968.68155134,528769561.41188943,707164541.9908193,205178134.76567954,599761657.5739717,1723843814.9089272,31250941.163899433,39987141.19983499,51228853.12290906,454049.03122530435,963806.1870495882,4333283.585340368,5786823.509534757,14043245.865273617,61340703.15292738,442690.7942047194,949373.1423119174,4123888.109662582,7109814.425560285,8364501.9812482465,9841905.660850951,8657.63048694776,100075.27096355843,307153.8005953474,7026594.820110667,8213081.243388118,9687403.58631126,997175.1645793368,1172341.758188026,1378769.8112942379,1724.7,19564.5,70773.54999999997,969163.2814852616,1145594.432475673,1347290.4337236567,143361.0,171441.0,200960.9,26411.364956475114,31584.537074260435,37022.981646903274,601675.3346215975,702060.5977185871,827420.2429542833,0.0013996154625801937,0.017115990283387148,0.06138487419710009,0.6352550615356793,0.9933029585663588,1.0,11036842.139916692,13016200.297966234,15314859.67886398,1
2044,732227731.132034,1051173017.5330727,1789519386.4505503,466755344.4805039,713425264.7974684,1319643468.58799,874624.2204234889,8121307.926164189,30272463.533108413,464646071.6016188,707471725.8682587,1301919545.70806,259122721.80391082,346038488.31033295,473650545.1410438,380352.13135292265,4076202.0131515153,14923302.931515481,461167.9412634622,3507379.5581482365,18219468.485423103,27068.940558457583,301962.40634137136,1096196.6787395843,287367345.5291285,349618221.45538497,431042823.12111807,100429495.94407155,327854296.01997435,934371122.1931615,21950517.96345507,26021141.005447216,31999158.46271409,18149618.190278634,22825210.133435823,27509367.36259208,216888827.8288435,300669552.7321654,429870666.35576856,18305673.249274686,22278081.981463965,27258156.098994825,269049234.31553555,356613707.71578586,502553460.47416854,464646071.6016188,707471725.8682587,1301919545.70806,205238008.94912452,326524518.40568423,487113798.8976448,0.0,0.0,114298132.83479927,756097976.1391721,1148317835.4017415,2341552076.3513165,739532553.6672722,1135852070.9031515,2327941419.512647,39855.82516720155,391640.2174405663,2234006.169611149,739364390.804948,1135347958.7721858,2327859134.071961,6364787.212534339,14890289.354096258,67691935.98472536,18505.861444458154,182380.07634019997,1107640.4087492386,21553.910961836213,173164.98745298744,1251193.0049046762,1364.2965242994871,12932.773908201707,78361.57709273153,455539122.20990497,566844496.146602,760283266.6352228,159490001.17508298,513845364.79024136,1546524676.6476197,33620387.20059602,42960468.91698767,55074685.06707328,422796.21771760966,891590.8334728477,4305431.616890489,5340514.597437148,13111413.892386518,59486333.2434923,436883.8663770172,895765.922520824,4100850.663013757,7133473.461712544,8378599.165024806,9858142.295257818,9276.43192185951,107873.9160721336,342037.02757906367,7022551.1158209,8224339.325203517,9705386.101887094,1103608.6401257883,1296452.399664312,1524797.1512535561,2047.7,23038.0,86546.09999999996,1068405.1244622376,1266766.1608989942,1487175.6893762064,143361.0,171441.0,200960.9,27797.060845959542,33241.64806671375,38965.42549897665,601750.7732624038,702125.2754306109,827537.3726672366,0.0014869024207320547,0.01840471773842725,0.06619849101704059,0.6601921352795551,1.0,1.0,11590638.53518579,13670254.386187382,16084523.301636754,1
